epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.85625,1.93198,3.68726,2.05134,0.00469,0.92626,0.15959,0.07981,1.58059,3.28919,1.79788,0.00018337,0.00018337,0.00018337
2,16.5516,1.55223,2.97857,1.61248,0.00495,0.97239,0.35687,0.19544,1.44278,3.01591,1.5285,0.000379614,0.000379614,0.000379614
3,23.1914,1.60354,2.48381,1.64613,0.00487,0.97239,0.46286,0.2033,1.54188,2.93711,1.54275,0.000571898,0.000571898,0.000571898
4,29.2125,1.59471,2.28726,1.64492,0.0045,0.89933,0.38627,0.15781,1.89955,2.89949,1.91693,0.00076022,0.00076022,0.00076022
5,35.0739,1.60327,2.11537,1.54595,0.73685,0.19198,0.48723,0.22982,1.83136,2.73494,2.04191,0.000944582,0.000944582,0.000944582
6,40.7504,1.59251,1.93096,1.50435,0.72016,0.54547,0.60448,0.29319,1.75537,2.31247,1.92673,0.00112498,0.00112498,0.00112498
7,46.5881,1.59781,2.04585,1.57966,0.68851,0.4997,0.55018,0.24778,1.70606,2.34443,2.0147,0.00130142,0.00130142,0.00130142
8,52.4286,1.57158,1.90322,1.48867,0.36141,0.32323,0.26228,0.10886,1.93989,2.82033,2.38269,0.0014739,0.0014739,0.0014739
9,58.1135,1.63788,1.84211,1.53727,0.34682,0.45926,0.34415,0.1671,2.02007,3.05208,2.88901,0.00153497,0.00153497,0.00153497
10,63.8481,1.61853,1.75095,1.5304,0.39312,0.43266,0.3477,0.13693,2.16627,2.95251,2.83989,0.00151847,0.00151847,0.00151847
11,69.5042,1.61703,1.88154,1.53853,0.57106,0.50572,0.59844,0.31302,1.70284,2.18186,1.86293,0.00150197,0.00150197,0.00150197
12,75.3367,1.5631,1.71715,1.50191,0.73891,0.68855,0.72044,0.34074,1.77698,2.46724,1.97925,0.00148546,0.00148546,0.00148546
13,81.4866,1.53641,1.68143,1.50664,0.72511,0.70087,0.77826,0.40443,1.74467,1.68188,1.89194,0.00146896,0.00146896,0.00146896
14,87.5877,1.57403,1.74025,1.55146,0.73039,0.62357,0.73031,0.34149,1.8364,1.72637,1.86389,0.00145246,0.00145246,0.00145246
15,93.5044,1.64495,1.65486,1.55918,0.66208,0.72812,0.73558,0.3658,1.81975,2.24783,1.87129,0.00143595,0.00143595,0.00143595
16,99.2283,1.54208,1.54285,1.46789,0.66645,0.73853,0.72377,0.30679,1.88114,2.10476,1.89837,0.00141945,0.00141945,0.00141945
17,105.078,1.57708,1.49499,1.50287,0.68144,0.7431,0.73477,0.35718,1.79398,2.25808,1.89414,0.00140295,0.00140295,0.00140295
18,110.804,1.51354,1.47787,1.47035,0.73371,0.69395,0.71335,0.31344,1.94744,1.72298,1.95467,0.00138644,0.00138644,0.00138644
19,116.691,1.53243,1.49831,1.48381,0.62145,0.74457,0.71061,0.35786,1.82919,1.95749,1.8304,0.00136994,0.00136994,0.00136994
20,122.847,1.50691,1.51976,1.4984,0.50763,0.77626,0.60628,0.32491,1.69128,2.25182,1.76309,0.00135344,0.00135344,0.00135344
21,128.71,1.55867,1.48636,1.4811,0.66787,0.8156,0.71571,0.39552,1.7371,2.01058,1.76833,0.00133693,0.00133693,0.00133693
22,134.498,1.45098,1.33502,1.42778,0.78351,0.75253,0.81229,0.44153,1.6408,1.79641,1.71867,0.00132043,0.00132043,0.00132043
23,140.862,1.48485,1.33168,1.46019,0.67423,0.8165,0.75898,0.34631,1.82712,1.83403,1.92377,0.00130393,0.00130393,0.00130393
24,146.994,1.46032,1.41349,1.4724,0.7533,0.68754,0.78763,0.42775,1.76472,1.33821,1.75117,0.00128742,0.00128742,0.00128742
25,152.763,1.47399,1.33594,1.43293,0.65318,0.64411,0.67342,0.32691,1.84809,1.53973,1.83446,0.00127092,0.00127092,0.00127092
26,158.415,1.47676,1.35225,1.43888,0.65565,0.79479,0.78139,0.39125,1.7473,1.58402,1.74846,0.00125442,0.00125442,0.00125442
27,164.264,1.42857,1.25183,1.40271,0.59327,0.74444,0.63732,0.31648,1.76783,1.71272,1.76,0.00123791,0.00123791,0.00123791
28,170.105,1.48611,1.30108,1.43458,0.37172,0.72727,0.42239,0.19944,1.73262,2.40492,1.75199,0.00122141,0.00122141,0.00122141
29,176.484,1.42244,1.26142,1.39326,0.48068,0.66406,0.51034,0.22897,1.91925,2.21749,1.8544,0.00120491,0.00120491,0.00120491
30,182.6,1.43694,1.23733,1.42604,0.60963,0.75253,0.62741,0.32303,1.80314,1.59383,1.80394,0.0011884,0.0011884,0.0011884
31,188.219,1.40196,1.21778,1.40271,0.55163,0.81603,0.71502,0.37166,1.68939,1.61624,1.72335,0.0011719,0.0011719,0.0011719
32,194.06,1.40417,1.16977,1.36949,0.59045,0.72525,0.69578,0.35217,1.79529,1.45521,1.77233,0.0011554,0.0011554,0.0011554
